model,k_correct_runs,category,n_games_in_group,mean_q,ci_low,ci_high,n_valid_replicates,n_replicates,seed
Gemma 4 4B,0,Mechanical,79,0.08438818565400844,0.047008547008547,0.12698934837092724,10000,10000,20260826
Gemma 4 4B,1,Mechanical,43,0.09302325581395349,0.045454545454545456,0.14492753623188404,10000,10000,20260826
Gemma 4 4B,2,Mechanical,34,0.04901960784313725,0.01111111111111111,0.09195402298850575,10000,10000,20260826
Gemma 4 4B,3,Mechanical,35,0.047619047619047616,0.0,0.10859173126614892,10000,10000,20260826
Gemma 4 4B,0,Testimony,79,0.4599156118143459,0.3780487804878048,0.5421686746987951,10000,10000,20260826
Gemma 4 4B,1,Testimony,43,0.5116279069767442,0.40540540540540543,0.6228070175438597,10000,10000,20260826
Gemma 4 4B,2,Testimony,34,0.6862745098039216,0.5959595959595959,0.7701149425287356,10000,10000,20260826
Gemma 4 4B,3,Testimony,35,0.8095238095238095,0.68,0.9210526315789473,10000,10000,20260826
Gemma 4 4B,0,SocialJudgment,79,0.47679324894514774,0.3999806201550387,0.5555555555555555,10000,10000,20260826
Gemma 4 4B,1,SocialJudgment,43,0.4341085271317829,0.3522012578616352,0.5185185185185185,10000,10000,20260826
Gemma 4 4B,2,SocialJudgment,34,0.5,0.391304347826087,0.606060606060606,10000,10000,20260826
Gemma 4 4B,3,SocialJudgment,35,0.6952380952380951,0.5591397849462366,0.8214285714285714,10000,10000,20260826
Gemma 4 4B,0,Behavioral,79,0.24050632911392406,0.17916666666666664,0.30453006770211066,10000,10000,20260826
Gemma 4 4B,1,Behavioral,43,0.2945736434108527,0.22916666666666666,0.3645833333333333,10000,10000,20260826
Gemma 4 4B,2,Behavioral,34,0.30392156862745096,0.21621621621621623,0.3939393939393939,10000,10000,20260826
Gemma 4 4B,3,Behavioral,35,0.18095238095238095,0.10185185185185185,0.2666666666666666,10000,10000,20260826
Gemma 4 4B,0,ClaimComparison,79,0.08016877637130801,0.03614457831325301,0.13253012048192772,10000,10000,20260826
Gemma 4 4B,1,ClaimComparison,43,0.08527131782945735,0.0392156862745098,0.13821138211382114,10000,10000,20260826
Gemma 4 4B,2,ClaimComparison,34,0.14705882352941177,0.0769047619047619,0.2258064516129032,10000,10000,20260826
Gemma 4 4B,3,ClaimComparison,35,0.11428571428571427,0.048780487804878044,0.18942099567099524,10000,10000,20260826
Gemma 4 4B,0,Payoff,79,0.5738396624472574,0.49333333333333335,0.6544715447154471,10000,10000,20260826
Gemma 4 4B,1,Payoff,43,0.6124031007751938,0.5144927536231885,0.7063571428571428,10000,10000,20260826
Gemma 4 4B,2,Payoff,34,0.5980392156862745,0.4901960784313725,0.7037037037037037,10000,10000,20260826
Gemma 4 4B,3,Payoff,35,0.8285714285714286,0.7204193548387096,0.9224955277280857,10000,10000,20260826
Gemma 4 4B,0,Uncertainty,79,0.6624472573839661,0.5897357723577235,0.7341772151898733,10000,10000,20260826
Gemma 4 4B,1,Uncertainty,43,0.6201550387596899,0.5503875968992248,0.6904761904761905,10000,10000,20260826
Gemma 4 4B,2,Uncertainty,34,0.6078431372549019,0.5185185185185185,0.6963131313131311,10000,10000,20260826
Gemma 4 4B,3,Uncertainty,35,0.2857142857142857,0.1875,0.392156862745098,10000,10000,20260826
