model,decoding_group,marker,n_runs,justifications_per_run,mean_total_occurrences_per_run,std_total_occurrences_per_run,mean_occurrences_per_justification,std_occurrences_per_justification,mean_occurrences_per_100_words,std_occurrences_per_100_words,mean_justifications_with_item_per_run,std_justifications_with_item_per_run,mean_pct_justifications_with_item,std_pct_justifications_with_item
Gemma 4 31B,Stochastic,and,3,191.0,569.0,21.93171219946131,2.9790575916230364,0.11482571832178677,3.9418006734192357,0.16372590674537343,184.33333333333334,1.1547005383792495,96.50959860383944,0.6045552556959375
Gemma 4 31B,Stochastic,as,3,191.0,171.66666666666666,4.61880215351701,0.8987783595113438,0.02418221022783777,1.189050884730196,0.02613828732426292,108.33333333333333,1.1547005383792526,56.719022687609076,0.6045552556959456
Gemma 4 31B,Stochastic,for,3,191.0,133.66666666666666,8.504900548115383,0.6998254799301921,0.04452827512102295,0.9257277401922513,0.05449239470756303,95.66666666666667,3.0550504633038935,50.08726003490401,1.5995028603685313
Gemma 4 31B,Stochastic,with,3,191.0,94.66666666666667,3.5118845842842483,0.4956369982547993,0.018386830284210672,0.6558203590444686,0.026517575506994694,77.66666666666667,2.88675134594813,40.6631762652705,1.5113881392398558
Gemma 4 31B,Stochastic,if,3,191.0,73.33333333333333,2.516611478423582,0.3839441535776615,0.013175976326825028,0.5080138481624652,0.018629489190723707,64.33333333333333,1.5275252316519452,33.682373472949386,0.7997514301842636
Gemma 4 31B,Stochastic,while,3,191.0,54.333333333333336,3.7859388972001833,0.2844677137870855,0.019821669618849087,0.37645566039200723,0.027919912507292144,53.666666666666664,3.214550253664317,28.097731239092496,1.6830106040127324
Gemma 4 31B,Stochastic,or,3,191.0,47.666666666666664,5.507570547286101,0.2495636998254799,0.028835447891550285,0.33034385790344206,0.04021393244051689,43.666666666666664,4.725815626252608,22.86212914485166,2.4742490189804243
Gemma 4 31B,Stochastic,but,3,191.0,43.666666666666664,5.131601439446885,0.2286212914485166,0.026867023243177406,0.30233851242009335,0.03374013757834601,41.0,5.196152422706632,21.465968586387433,2.720498650631746
Gemma 4 31B,Stochastic,then,3,191.0,43.666666666666664,2.0816659994661326,0.2286212914485166,0.010898774866314827,0.3025322706581934,0.01599001828959319,38.333333333333336,2.309401076758502,20.069808027923212,1.2091105113918845
Gemma 4 31B,Stochastic,since,3,191.0,37.666666666666664,2.516611478423584,0.19720767888307156,0.013175976326825031,0.2608995333031428,0.016941143065870263,37.666666666666664,2.516611478423584,19.720767888307154,1.3175976326825058
Gemma 4 31B,Stochastic,later,3,191.0,33.333333333333336,0.5773502691896263,0.17452006980802792,0.003022776278479721,0.2309034737191605,0.004127125712095896,32.666666666666664,0.5773502691896263,17.10296684118674,0.3022776278479715
Gemma 4 31B,Stochastic,also,3,191.0,22.0,1.0,0.11518324607329844,0.0052356020942408345,0.15242605490906516,0.007880718696006117,20.666666666666668,0.5773502691896263,10.820244328097731,0.3022776278479721
Gemma 4 31B,Stochastic,therefore,3,191.0,21.333333333333332,3.785938897200183,0.11169284467713787,0.019821669618849125,0.14768694143396932,0.02554499818478168,21.333333333333332,3.785938897200183,11.169284467713787,1.9821669618849125
Gemma 4 31B,Stochastic,given,3,191.0,17.333333333333332,4.932882862316247,0.09075043630017453,0.02582661184458768,0.12007267419376244,0.034152537659122205,17.333333333333332,4.932882862316247,9.075043630017452,2.5826611844587686
Gemma 4 31B,Stochastic,however,3,191.0,15.333333333333334,4.509249752822894,0.08027923211169284,0.023608637449334526,0.10626375969018809,0.03138810626700837,15.333333333333334,4.509249752822894,8.027923211169284,2.360863744933452
Gemma 4 31B,Stochastic,although,3,191.0,12.666666666666666,0.5773502691896258,0.0663176265270506,0.003022776278479718,0.08772874247044637,0.0035227698079101596,12.666666666666666,0.5773502691896258,6.631762652705061,0.30227762784797135
Gemma 4 31B,Stochastic,furthermore,3,191.0,12.333333333333334,4.618802153517007,0.06457242582897033,0.024182210227837727,0.0855442701317128,0.03234087474414273,12.333333333333334,4.618802153517007,6.457242582897034,2.418221022783772
Gemma 4 31B,Stochastic,eventually,3,191.0,10.666666666666666,1.5275252316519465,0.055846422338568937,0.007997514301842649,0.0739320635730995,0.011016584114569716,10.666666666666666,1.5275252316519465,5.5846422338568935,0.7997514301842656
Gemma 4 31B,Stochastic,further,3,191.0,9.333333333333334,1.5275252316519465,0.04886561954624782,0.007997514301842649,0.06461088804232536,0.010181171512815675,9.333333333333334,1.5275252316519465,4.886561954624782,0.7997514301842652
Gemma 4 31B,Stochastic,finally,3,191.0,9.333333333333334,1.1547005383792517,0.04886561954624782,0.00604555255695943,0.06468073991274848,0.008310555765290417,9.333333333333334,1.1547005383792517,4.886561954624781,0.6045552556959429
Gemma 4 31B,Greedy,and,1,191.0,555.0,,2.905759162303665,,3.8697531725003484,,185.0,,96.8586387434555,
Gemma 4 31B,Greedy,as,1,191.0,179.0,,0.93717277486911,,1.2480825547343466,,106.0,,55.49738219895288,
Gemma 4 31B,Greedy,for,1,191.0,128.0,,0.6701570680628273,,0.892483614558639,,93.0,,48.69109947643979,
Gemma 4 31B,Greedy,with,1,191.0,88.0,,0.4607329842931937,,0.6135824850090643,,70.0,,36.64921465968586,
Gemma 4 31B,Greedy,if,1,191.0,66.0,,0.34554973821989526,,0.46018686375679824,,55.0,,28.79581151832461,
Gemma 4 31B,Greedy,while,1,191.0,49.0,,0.25654450261780104,,0.34165388369822897,,49.0,,25.654450261780106,
Gemma 4 31B,Greedy,or,1,191.0,49.0,,0.25654450261780104,,0.34165388369822897,,43.0,,22.513089005235603,
Gemma 4 31B,Greedy,since,1,191.0,47.0,,0.24607329842931938,,0.32770882722075023,,46.0,,24.083769633507853,
Gemma 4 31B,Greedy,then,1,191.0,47.0,,0.24607329842931938,,0.32770882722075023,,38.0,,19.895287958115183,
Gemma 4 31B,Greedy,but,1,191.0,41.0,,0.21465968586387435,,0.28587365778831403,,40.0,,20.94240837696335,
Gemma 4 31B,Greedy,later,1,191.0,40.0,,0.2094240837696335,,0.2789011295495747,,39.0,,20.418848167539267,
